20527.12	2882.03	47082.92
20528.01	2882.53	47083.05
20527.23	2883.37	47083.39
20525.99	2884.20	47083.71
20525.51	2884.71	47083.93
20524.79	2885.03	47084.16
20524.94	2885.60	47084.20
20524.35	2886.17	47084.35
20523.55	2886.83	47084.50
20522.61	2887.47	47084.64
20522.00	2888.01	47084.80
20521.70	2888.65	47084.84
20521.66	2889.17	47085.00
20521.17	2889.78	47085.22
20520.73	2890.35	47085.38
20520.01	2890.74	47085.57
20520.77	2891.08	47085.61
20520.61	2891.67	47085.82
20520.28	2891.99	47086.02
20520.59	2892.31	47086.22
20521.01	2892.52	47086.37
20521.42	2892.74	47086.56
20521.43	2893.24	47086.75
20520.28	2893.91	47086.92
20519.32	2894.47	47087.18
20519.46	2894.56	47087.39
20520.32	2894.36	47087.57
20520.57	2894.41	47087.68
20522.01	2894.95	47087.69
20522.49	2895.38	47088.12
20522.23	2895.67	47088.26
20521.92	2895.98	47088.55
20522.23	2895.79	47088.81
20522.52	2895.68	47089.03
20523.42	2895.34	47089.22
20524.35	2895.15	47089.34
20524.92	2895.12	47089.50
20524.73	2895.16	47089.69
20524.78	2895.07	47089.80
20524.81	2895.18	47089.90
20525.18	2895.51	47090.05
20526.04	2896.20	47090.08
20524.66	2896.76	47090.47
20523.62	2897.00	47090.71
20524.82	2897.28	47090.74
20524.39	2897.14	47091.03
20524.17	2897.27	47091.10
20524.17	2897.53	47091.23
20524.31	2897.32	47091.44
20523.94	2897.44	47091.53
20523.64	2898.06	47091.59
20522.74	2898.39	47091.81
20522.00	2898.62	47091.98
20521.80	2898.87	47092.13
20521.97	2898.81	47092.28
20522.01	2899.07	47092.39
20522.12	2899.38	47092.50
20522.28	2899.78	47092.72
20523.04	2899.58	47092.93
20523.33	2900.38	47092.98
20523.52	2901.33	47093.20
20523.51	2902.18	47093.47
20523.19	2902.72	47093.73
20521.78	2903.79	47093.89
20521.42	2904.23	47094.16
20520.33	2905.32	47094.09
20519.69	2905.69	47094.34
20519.52	2905.78	47094.31
20519.36	2906.05	47094.32
20518.87	2905.51	47094.47
20518.53	2905.23	47094.36
20517.78	2905.42	47094.19
20516.96	2905.47	47094.19
20516.17	2905.20	47094.11
20516.08	2905.75	47093.94
20515.53	2906.22	47093.91
20514.43	2907.02	47093.82
20513.74	2907.70	47093.89
20513.75	2908.08	47093.83
20514.10	2908.35	47093.87
20512.94	2909.01	47093.88
20512.39	2909.54	47093.84
20510.88	2910.81	47093.63
20510.13	2911.71	47093.76
20510.48	2912.00	47093.86
20510.71	2912.38	47093.70
20509.99	2913.67	47093.72
20510.17	2914.30	47093.88
20510.73	2915.32	47093.81
20511.60	2916.02	47094.03
20512.03	2916.62	47094.14
20510.84	2917.73	47094.21
20510.50	2918.71	47094.20
20510.47	2919.27	47094.21
20510.77	2919.81	47094.15
20510.41	2919.73	47094.18
20509.47	2920.42	47093.94
20510.01	2920.88	47093.77
20511.58	2920.44	47093.77
20512.38	2920.20	47093.66
20513.62	2919.67	47093.60
20514.26	2919.07	47093.50
20514.65	2918.32	47093.40
20515.05	2917.30	47093.29
20516.07	2916.39	47092.96
20516.24	2916.19	47092.71
20515.93	2916.00	47092.44
20515.28	2916.06	47092.30
20515.53	2915.52	47092.08
20515.85	2915.11	47091.97
20516.39	2913.84	47091.85
20516.42	2912.96	47091.66
20517.19	2912.81	47091.27
20516.63	2912.34	47091.25
20515.49	2912.04	47091.07
20514.51	2911.82	47090.83
20514.12	2911.41	47090.70
20514.21	2910.32	47090.58
20514.31	2908.87	47090.50
20513.75	2907.70	47090.22
20513.25	2906.89	47089.89
20512.37	2906.31	47089.54
20511.33	2906.24	47089.28
20510.59	2905.70	47089.13
20509.62	2905.28	47088.95
20508.56	2905.34	47088.70
20507.64	2906.13	47088.46
20507.20	2906.66	47088.51
20506.84	2907.22	47088.43
20506.28	2907.70	47088.59
20505.96	2907.86	47088.64
20505.85	2908.07	47088.63
20505.97	2908.14	47088.65
20506.44	2908.06	47088.63
20506.13	2908.44	47088.53
20506.07	2908.79	47088.57
20506.02	2908.71	47088.66
20505.94	2908.41	47088.65
20505.74	2907.60	47088.62
20505.15	2908.07	47088.31
20504.96	2908.58	47088.28
20505.12	2908.50	47088.35
20504.78	2908.41	47088.39
20504.15	2908.49	47088.29
20503.16	2909.14	47088.14
20502.69	2909.68	47088.18
20502.03	2909.78	47088.30
20501.07	2910.16	47088.32
20500.29	2910.66	47088.32
20500.14	2911.54	47088.29
20499.76	2912.58	47088.30
20499.41	2913.94	47088.32
20499.22	2914.99	47088.41
20498.99	2916.09	47088.50
20498.67	2917.05	47088.62
20498.63	2917.66	47088.74
20498.24	2918.18	47088.85
20497.65	2918.43	47088.89
20496.85	2918.83	47088.85
20495.89	2918.89	47088.84
20495.12	2919.05	47088.71
20494.44	2918.74	47088.63
20493.76	2917.94	47088.54
20493.32	2916.89	47088.37
20492.81	2915.40	47088.19
20492.76	2913.85	47087.80
20492.74	2912.33	47087.43
20493.41	2910.61	47087.09
20493.76	2909.05	47086.74
20493.83	2907.51	47086.41
20493.45	2906.37	47086.04
20493.15	2905.70	47085.69
20493.10	2904.48	47085.50
20493.32	2903.98	47085.17
20493.07	2903.52	47085.00
20492.69	2902.83	47084.90
20492.28	2901.89	47084.71
20492.25	2901.39	47084.43
20492.31	2901.30	47084.15
20492.45	2901.56	47084.07
20492.49	2901.12	47084.11
20492.22	2900.68	47084.04
20491.89	2900.46	47083.97
20491.69	2899.95	47083.95
20491.52	2899.47	47083.87
20491.96	2899.20	47083.75
20492.32	2898.36	47083.74
20492.95	2897.89	47083.60
20493.98	2897.53	47083.45
20494.97	2897.30	47083.38
